userId,tmdbId,rating,timestamp
1,9909,2.5,1260759144
7,9909,3.0,851868750
31,9909,4.0,1273541953
32,9909,4.0,834828440
36,9909,3.0,847057202
39,9909,3.0,832525157
73,9909,3.5,1255591860
88,9909,3.0,1239755559
96,9909,2.5,1223256331
110,9909,4.0,840100695
111,9909,3.5,1097429230
150,9909,2.5,1130905954
161,9909,3.0,837629820
165,9909,3.5,1111981801
186,9909,3.0,1276205768
242,9909,4.0,956686556
254,9909,3.0,845157538
288,9909,3.0,845862722
310,9909,1.5,1414188058
311,9909,3.0,898007906
325,9909,4.5,1356316520
338,9909,3.0,841656923
341,9909,4.5,1240055463
386,9909,2.0,1047028867
394,9909,2.0,1297524887
452,9909,2.5,1077114665
457,9909,1.5,1471385561
461,9909,2.0,1091959143
468,9909,1.5,1296193889
485,9909,4.0,1337748425
487,9909,5.0,832836558
496,9909,4.0,834060152
511,9909,4.0,829352433
516,9909,4.0,844687388
525,9909,4.0,1024928582
590,9909,3.0,848677861
596,9909,3.0,1138705152
601,9909,3.0,1270253462
607,9909,3.5,1118248028
619,9909,3.0,831923897
639,9909,3.0,832451040
641,9909,4.0,841551303
1,11360,3.0,1260759179
19,11360,5.0,855192033
35,11360,1.5,1174450070
61,11360,2.5,1216487645
73,11360,3.0,1256030424
99,11360,3.0,938587916
102,11360,5.0,958250063
128,11360,4.0,1049691020
175,11360,4.0,1052835824
185,11360,3.0,1019787095
188,11360,5.0,841064992
213,11360,1.5,1462639478
214,11360,3.0,978469274
268,11360,4.0,1314888500
294,11360,3.0,1047071382
303,11360,3.5,1299437834
311,11360,3.0,898008575
363,11360,4.0,942344923
387,11360,5.0,974683041
420,11360,3.0,892822922
442,11360,4.0,1227967555
452,11360,4.0,1133735349
466,11360,5.0,944979057
468,11360,3.5,1296198021
471,11360,3.5,1239744686
472,11360,4.0,994738309
514,11360,3.0,853894894
518,11360,4.0,945369243
529,11360,3.0,960151613
530,11360,4.0,882388817
547,11360,5.0,1011142236
551,11360,4.0,843275099
564,11360,5.0,974790392
575,11360,4.0,1018056909
577,11360,4.5,1111551075
582,11360,4.0,1122169804
602,11360,3.0,842358046
603,11360,4.0,868355630
605,11360,4.0,980176907
607,11360,3.0,1118248288
646,11360,4.0,953704051
665,11360,4.0,992909171
1,819,3.0,1260759182
19,819,3.0,855190382
23,819,3.5,1148673456
30,819,3.0,946162006
70,819,5.0,853955020
73,819,4.0,1255947496
90,819,4.0,875517306
102,819,2.0,957894450
105,819,4.0,1085579876
119,819,4.0,952583272
141,819,3.0,959003310
150,819,3.0,1114306312
165,819,2.5,1111610189
212,819,4.0,1253930115
233,819,3.0,854482028
252,819,3.0,869102110
292,819,4.0,1140050055
306,819,3.0,939717048
318,819,3.0,862902980
325,819,3.5,1356316549
380,819,4.0,949369503
452,819,3.0,976420414
461,819,4.0,1090908690
507,819,2.0,862091839
509,819,4.0,978936271
518,819,5.0,945443806
534,819,4.0,973377385
537,819,5.0,879506989
584,819,4.5,1273516287
608,819,3.0,958825073
641,819,4.0,861415933
647,819,4.0,947293302
665,819,3.0,995233350
1,1103,2.0,1260759185
7,1103,3.0,851869103
19,1103,3.0,855192347
21,1103,3.0,853848738
30,1103,3.0,945294508
34,1103,4.0,973747643
41,1103,4.5,1093887235
49,1103,3.0,978039819
57,1103,3.0,907765059
66,1103,4.0,974600198
73,1103,4.0,1255502910
77,1103,4.0,1163277603
103,1103,2.5,1117315794
105,1103,3.5,1088058555
118,1103,3.0,951009005
119,1103,4.0,913232754
155,1103,4.0,943350400
177,1103,3.0,907380544
195,1103,1.0,975417321
248,1103,5.0,1031528353
276,1103,4.0,1321812019
299,1103,4.5,1344428655
311,1103,1.5,1062015707
325,1103,3.0,1356316550
346,1103,4.0,1159124816
351,1103,3.0,975636902
353,1103,2.0,1112270195
358,1103,3.0,957481855
380,1103,4.0,950073667
390,1103,3.0,867076243
423,1103,4.0,1353689957
461,1103,3.5,1090908681
463,1103,3.0,1049913946
468,1103,2.5,1296197914
472,1103,4.0,962170835
514,1103,3.0,853895639
516,1103,3.0,844688430
518,1103,3.0,945369740
522,1103,4.0,1391354179
547,1103,3.5,1073443756
564,1103,4.0,974713673
580,1103,2.0,1167162787
585,1103,3.0,975361710
596,1103,3.5,1142088998
597,1103,4.0,940707230
624,1103,3.0,1019125369
634,1103,3.0,1309492321
654,1103,4.5,1145392601
1,11216,4.0,1260759205
23,11216,5.0,1148670101
38,11216,4.5,1389867840
56,11216,2.0,1470350810
94,11216,3.5,1291781459
102,11216,4.0,956598768
119,11216,4.0,913051262
130,11216,4.0,1139003923
133,11216,5.0,1416151906
148,11216,5.0,1059680324
198,11216,3.5,1068822207
229,11216,4.5,1277402495
232,11216,2.0,955090106
262,11216,3.0,1433898949
280,11216,5.0,905583610
283,11216,3.5,1114524745
306,11216,4.0,939760436
320,11216,5.0,1424366533
321,11216,5.0,939398768
325,11216,2.0,1356316546
330,11216,5.0,948575236
341,11216,4.0,1240055494
358,11216,5.0,957480107
372,11216,3.0,958004346
373,11216,5.0,939035640
387,11216,5.0,974671010
391,11216,5.0,891534357
430,11216,4.5,1111579376
441,11216,5.0,1048091084
452,11216,4.0,976421430
460,11216,3.5,1072839378
468,11216,3.0,1296189281
472,11216,4.0,939071363
481,11216,5.0,1437001195
497,11216,5.0,940364289
505,11216,4.0,1340404878
509,11216,4.0,939417618
510,11216,5.0,948183503
521,11216,5.0,1370072862
537,11216,5.0,879502984
539,11216,5.0,956858863
545,11216,5.0,938566437
547,11216,5.0,1373125067
580,11216,4.0,1167162822
585,11216,5.0,975363282
587,11216,4.5,1111368127
1,11778,2.0,1260759151
15,11778,4.0,1120208625
17,11778,4.5,1127470072
19,11778,4.0,855191775
21,11778,4.0,853851203
22,11778,3.0,1131753381
23,11778,3.0,1148778787
30,11778,5.0,945114843
34,11778,4.0,973748427
56,11778,2.0,1470351002
57,11778,5.0,907765939
73,11778,4.0,1267705648
102,11778,5.0,957893782
105,11778,4.0,1100532241
152,11778,3.5,1335900563
195,11778,3.0,977743659
232,11778,5.0,955085867
248,11778,5.0,1031528692
257,11778,4.0,1338006929
265,11778,4.0,960060099
303,11778,4.0,1299437793
309,11778,4.0,1127796692
344,11778,5.0,850727663
353,11778,1.5,1218607758
370,11778,4.0,1096512218
373,11778,5.0,939235075
380,11778,4.0,1151120719
391,11778,5.0,891533701
394,11778,0.5,1297524895
423,11778,3.5,1353691303
434,11778,4.0,886375700
