,userId,user_vector,avg_rating,num_movies_rated
0,1,"[2.         2.33333333 3.         2.66666667 0.         3.75
 2.5        2.6        2.5        2.5        3.         2.
 2.83333333 0.         2.         0.         0.         0.
 0.         3.         0.        ]",2.59375,16
1,2,"[3.75       3.         3.33333333 3.4        3.2        3.66666667
 3.55882353 3.1875     3.         3.25       4.         3.66666667
 3.5        3.25       4.33333333 0.         0.         0.
 0.         0.         0.        ]",3.3833333333333333,60
2,3,"[2.875      3.55       3.07142857 3.54545455 3.09090909 3.57142857
 3.91304348 3.45       4.         3.75       3.5        3.875
 3.75       4.         4.         0.         0.         3.
 4.         4.         0.        ]",3.6463414634146343,41
3,4,"[4.71428571 4.30645161 4.71794872 4.28070175 4.61764706 4.55
 4.54545455 4.075      4.08       3.9        4.0625     5.
 4.35294118 3.91666667 4.66666667 0.         0.         4.85714286
 4.         3.         0.        ]",4.337423312883436,163
4,5,"[3.9375     3.92307692 4.         3.75       3.85714286 4.08
 3.88235294 4.05555556 3.5        3.5        4.         4.
 3.75       3.75       4.         0.         0.         4.25
 3.75       0.         0.        ]",3.90625,80
5,6,"[3.16666667 2.75       3.         3.27777778 3.35714286 2.57142857
 3.23333333 3.09090909 3.91666667 3.5        3.5        3.75
 2.625      2.83333333 4.5        0.         0.         2.
 0.         0.         0.        ]",3.2,35
6,7,"[4.         3.5        3.69230769 3.60869565 3.5        3.22222222
 3.34782609 3.40909091 3.375      3.14285714 2.         4.
 3.38095238 3.         5.         0.         0.         4.
 0.         4.         0.        ]",3.5,70
7,8,"[3.25       3.72916667 3.6        4.         3.45454545 3.85714286
 3.85416667 3.91666667 4.07692308 3.84848485 3.6        4.2
 4.16666667 4.25       4.125      0.         0.         3.5
 3.         0.         0.        ]",3.8440860215053765,93
8,9,"[3.33333333 3.4        3.33333333 3.         4.         3.66666667
 3.88       3.25       3.55555556 3.75       0.         3.75
 3.         3.5        3.66666667 0.         0.         4.
 0.         0.         0.        ]",3.6666666666666665,36
9,10,"[0.         3.77777778 4.5        3.85714286 4.         3.6
 3.75       3.71428571 3.625      3.58333333 3.42857143 0.
 3.85714286 3.         2.         4.         0.         4.
 4.         2.         0.        ]",3.7567567567567566,37
10,11,"[0.         3.75       0.         3.9375     4.         4.5
 4.26923077 3.77777778 4.09090909 3.88461538 1.         5.
 4.5        4.         4.5        0.         0.         4.25
 3.7        5.         0.        ]",3.9833333333333334,30
11,12,"[1.66666667 2.64       1.33333333 2.54545455 2.         2.41666667
 2.61904762 3.         2.875      3.         3.42857143 0.
 2.7        2.33333333 0.         2.         0.         3.66666667
 0.         3.         0.        ]",2.693877551020408,49
12,13,"[4.07142857 3.6        4.07142857 3.73076923 4.         3.875
 3.9        3.33333333 3.75       3.         0.         4.16666667
 3.4        3.33333333 4.16666667 0.         0.         4.
 0.         2.75       0.        ]",3.7976190476190474,42
13,14,"[2.75       3.         2.85714286 2.4        2.66666667 2.66666667
 2.5        2.66666667 2.         3.         0.         0.
 2.8        0.         0.         0.         0.         0.
 0.         0.         0.        ]",2.8125,16
14,15,"[2.13559322 2.54855372 2.13265306 2.37396694 2.1953125  2.60572687
 2.70560748 2.47933884 2.69153226 2.54104478 2.42465753 3.00943396
 2.40547264 2.71153846 2.79166667 3.         0.         2.56578947
 3.11764706 2.39285714 0.        ]",2.6118469462840324,1359
15,16,"[0.         4.2        4.         3.83333333 3.         4.27777778
 4.16666667 3.8        3.875      4.25       0.         4.
 4.25       0.         4.         0.         0.         0.
 0.         0.         0.        ]",4.108695652173913,23
16,17,"[2.33333333 3.07894737 3.25       3.32258065 3.73809524 3.59375
 3.90462428 3.18103448 3.77906977 3.84496124 3.7125     4.18181818
 3.68867925 3.9025974  3.5625     0.         0.         3.8125
 4.33333333 3.         0.        ]",3.6941580756013748,291
17,18,"[0.         3.2        4.         3.1        2.66666667 3.33333333
 3.0952381  3.2        3.         3.11764706 2.5        2.
 3.         3.         0.         0.         0.         4.
 0.         0.         0.        ]",3.097560975609756,41
18,19,"[3.84615385 3.41489362 3.75       3.40740741 3.61764706 3.38157895
 3.58247423 3.26923077 3.55555556 3.40566038 3.25       3.68421053
 3.425      3.6744186  4.         0.         0.         3.63636364
 4.         3.4        0.        ]",3.544378698224852,338
19,20,"[4.         3.61290323 3.66666667 3.63333333 3.34615385 3.60526316
 3.         3.65       2.22222222 2.5        0.         3.875
 3.13636364 2.9        3.4375     0.         0.         3.75
 0.         2.5        0.        ]",3.2564102564102564,78
20,21,"[3.14285714 3.5625     3.57142857 3.38095238 3.25       3.66666667
 3.73469388 3.45652174 3.58823529 3.33333333 3.27272727 4.16666667
 3.34285714 3.625      3.81818182 0.         0.         3.375
 0.         3.5        0.        ]",3.5076923076923077,130
