,userId,user_vector,avg_rating,num_movies_rated
0,1,"[2.    1.75  2.    2.3   1.    3.75  2.7   3.25  2.875 3.    3.    2.
 2.5   2.5   2.    0.    0.    0.    0.    0.    0.   ]",2.625,16
1,2,"[3.33333333 3.125      3.30769231 3.54545455 3.         3.66666667
 3.63157895 3.21428571 3.3        3.5        4.         3.4
 3.6        3.25       4.33333333 0.         0.         3.
 0.         5.         0.        ]",3.5166666666666666,60
2,3,"[2.875      3.53571429 3.0625     3.41666667 3.05555556 3.66666667
 3.84       3.33333333 3.66666667 3.41666667 3.         3.83333333
 3.16666667 3.5        4.         0.         0.         3.
 4.         4.         0.        ]",3.548780487804878,41
3,4,"[4.81818182 4.28787879 4.6        4.26785714 4.54285714 4.6
 4.48780488 4.13953488 4.19230769 4.02439024 4.0625     5.
 4.23529412 4.09090909 4.5        0.         0.         4.8
 5.         3.         0.        ]",4.3496932515337425,163
4,5,"[3.9        3.95348837 4.03846154 3.77777778 3.77777778 4.07692308
 3.87837838 4.         3.45       3.55555556 4.         4.
 3.875      3.75       4.         0.         0.         4.5
 3.75       0.         0.        ]",3.93125,80
5,6,"[4.25       2.88461538 3.5        3.72727273 3.875      2.7
 3.17857143 3.5        3.9        3.28571429 3.5        3.75
 2.75       2.83333333 4.5        0.         0.         2.
 0.         0.         0.        ]",3.3142857142857145,35
6,7,"[3.875      3.48148148 3.66666667 3.37037037 3.46153846 3.
 3.19047619 3.16       3.22222222 2.92857143 2.         3.75
 3.23809524 3.         3.66666667 0.         0.         4.5
 0.         4.         0.        ]",3.3857142857142857,70
7,8,"[3.5        3.69565217 3.6        4.03571429 3.45       3.84375
 3.98913043 3.9        4.09259259 3.95588235 3.5        4.3
 4.15       4.36363636 4.33333333 0.         0.         3.75
 3.         0.         0.        ]",3.913978494623656,93
8,9,"[4.         4.125      4.         4.         4.         4.
 3.84615385 3.8        3.75       3.66666667 0.         3.75
 4.5        3.66666667 3.66666667 0.         0.         4.
 0.         0.         0.        ]",3.888888888888889,36
9,10,"[0.         3.5        3.         3.77777778 4.         4.16666667
 3.8125     4.         3.625      3.53846154 3.16666667 0.
 3.83333333 3.         0.         4.         0.         0.
 4.         2.         0.        ]",3.72972972972973,37
10,11,"[0.         3.625      3.5        4.07142857 4.         4.75
 4.35294118 4.16666667 4.31818182 4.33333333 0.         5.
 5.         4.33333333 4.5        0.         0.         4.5
 3.9        5.         0.        ]",4.2,30
11,12,"[1.33333333 2.43478261 1.16666667 2.45454545 1.2        2.38461538
 2.60869565 2.66666667 2.5        3.33333333 3.5        0.
 2.72727273 2.75       0.         2.         0.         3.
 0.         2.         0.        ]",2.6122448979591835,49
12,13,"[4.         3.60714286 4.         3.65384615 4.05555556 3.92857143
 3.90909091 3.16666667 3.5625     3.1        0.         4.16666667
 3.4        3.375      4.16666667 0.         0.         0.
 0.         3.25       0.        ]",3.738095238095238,42
13,14,"[2.66666667 3.11111111 3.         2.5        2.33333333 2.5
 2.66666667 2.66666667 2.         3.         0.         0.
 3.2        0.         0.         0.         0.         3.
 0.         0.         0.        ]",2.875,16
14,15,"[2.1779661  2.56082474 2.12244898 2.38636364 2.07421875 2.65681818
 2.72037915 2.48505435 2.72813688 2.58502538 2.43150685 2.85185185
 2.41089109 2.73825503 2.53947368 3.16666667 0.         2.59677419
 3.09848485 2.64285714 0.        ]",2.6247240618101544,1359
15,16,"[0.         4.14285714 0.         3.75       3.         4.35714286
 4.16666667 3.91666667 3.8        4.4        0.         4.
 4.66666667 4.75       4.         0.         0.         0.
 0.         0.         0.        ]",4.130434782608695,23
16,17,"[2.7        3.16964286 2.94444444 3.30645161 3.47222222 3.65151515
 4.01436782 3.22413793 3.82738095 3.88321168 3.79166667 4.16666667
 3.77118644 4.06081081 4.0625     0.         0.         4.07142857
 4.33333333 4.5        0.        ]",3.79553264604811,291
17,18,"[0.         3.15384615 4.         3.         3.         3.54545455
 3.30434783 3.25       3.28571429 3.25       2.33333333 2.
 2.85714286 3.66666667 0.         0.         0.         4.
 0.         0.         0.        ]",3.2439024390243905,41
18,19,"[3.78571429 3.5257732  3.66666667 3.22916667 3.56410256 3.5
 3.6        3.24657534 3.73134328 3.35353535 3.18518519 3.6
 3.33333333 3.69444444 3.85714286 0.         0.         3.69230769
 3.5        3.375      0.        ]",3.5414201183431953,338
19,20,"[4.11111111 3.44827586 3.76470588 3.5625     3.22727273 3.5
 2.85365854 3.5        2.54166667 2.4375     0.         3.6875
 3.08333333 2.875      3.16666667 0.         0.         3.75
 0.         2.5        0.        ]",3.128205128205128,78
20,21,"[3.125      3.36363636 3.47368421 3.33333333 3.15       3.43478261
 3.80392157 3.41025641 3.47058824 3.28125    3.11111111 4.42857143
 3.31034483 3.5        3.88888889 0.         0.         3.5
 0.         3.57142857 0.        ]",3.4615384615384617,130
21,22,"[3.5        2.90425532 2.95238095 3.38095238 3.46153846 3.21875
 3.10204082 3.41975309 3.34848485 3.3984375  3.69047619 2.9
 3.41509434 3.43478261 3.         0.         0.         3.
 0.         2.25       0.        ]",3.2954545454545454,176
22,23,"[3.5625     3.55       3.58823529 3.42857143 3.5        3.56086957
 3.73589744 3.328125   3.64583333 3.62758621 3.30769231 3.60869565
 3.49019608 3.65079365 3.36206897 5.         0.         3.42857143
 3.85714286 3.61111111 0.        ]",3.6219931271477663,582
23,24,"[3.         3.         3.         3.42857143 3.         3.
 3.55555556 3.66666667 4.66666667 4.         0.         4.
 3.33333333 4.         4.         0.         0.         0.
 0.         4.         0.        ]",3.588235294117647,17
24,25,"[0.         2.28571429 5.         3.5        2.6        2.25
 3.         3.33333333 3.5        3.         2.         0.
 3.         3.         0.         0.         0.         0.
 0.         0.         0.        ]",2.9523809523809526,21
25,26,"[3.8        3.46428571 3.70833333 3.18421053 3.57142857 3.2
 3.5390625  3.44642857 3.64423077 3.68367347 3.         3.375
 3.15789474 3.875      3.2        0.         0.         2.5
 3.5        4.         0.        ]",3.4744525547445257,137
26,27,"[0.         3.33333333 0.         4.         0.         3.
 4.         4.         3.85714286 3.875      1.         4.
 0.         3.33333333 5.         0.         0.         0.
 0.         0.         0.        ]",3.7222222222222223,18
27,28,"[0.         4.42857143 1.         3.         0.         4.25
 4.52       3.33333333 4.55555556 4.30769231 4.         4.25
 3.25       4.33333333 4.4        0.         0.         5.
 0.         0.         0.        ]",4.325,40
28,29,"[0.         1.875      1.5        2.3        1.875      0.5
 2.83333333 3.41666667 5.         3.33333333 2.91666667 4.
 2.75       2.5        4.5        0.         0.         0.5
 0.         0.         0.        ]",2.8055555555555554,18
29,30,"[3.95238095 3.62280702 3.64615385 3.58252427 3.55357143 3.79545455
 3.9272541  3.69753086 4.0298913  3.82591093 3.35714286 4.2625
 3.27868852 3.79069767 4.16666667 0.         0.         3.69444444
 3.28571429 3.94736842 0.        ]",3.782178217821782,808
30,31,"[4.         4.05       4.1875     4.21428571 4.22727273 4.125
 4.15       4.3        4.25       4.27777778 0.         4.2
 4.4375     4.5        4.3        0.         0.         3.5
 4.         4.         0.        ]",4.181818181818182,55
31,32,"[3.         3.46153846 3.2        3.81818182 3.42857143 3.625
 3.9375     3.8        3.66666667 4.16666667 0.         4.
 4.         4.         4.         0.         0.         0.
 0.         4.         0.        ]",3.763157894736842,38
32,33,"[3.         3.22058824 2.92307692 2.85714286 2.875      3.61904762
 3.37837838 2.57142857 3.35       3.6        3.38461538 1.
 2.6        3.33333333 0.         0.         0.         2.125
 3.33333333 0.         0.        ]",3.2818181818181817,110
33,34,"[4.         3.6        3.         3.85294118 3.14285714 4.07692308
 3.97402597 3.82926829 3.96774194 3.91071429 3.64       4.1875
 3.87179487 3.94444444 4.05555556 0.         0.         3.66666667
 4.         4.14285714 0.        ]",3.9,150
34,35,"[1.5        2.125      1.16666667 2.66666667 2.         2.
 2.22727273 3.         2.33333333 2.5        2.         1.75
 2.16666667 1.5        0.         0.         0.         1.5
 0.         0.         0.        ]",2.21875,16
35,36,"[3.         3.43333333 3.         3.5        3.125      3.71428571
 3.76       3.38461538 3.44444444 3.3        3.25       4.
 3.4        3.28571429 4.         0.         0.         4.
 4.         3.         0.        ]",3.5609756097560976,82
